% 1. Title : data/puppet.train.1yr.comment
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-12-05
@RELATION BUGGY
@ATTRIBUTE Kincaid numeric
@ATTRIBUTE Diction numeric
@ATTRIBUTE Queequeg numeric
@ATTRIBUTE classification {clean,buggy}

@DATA
5.0,0,2,clean
9.5,0,3,buggy
4.0,0,1,buggy
2.2,8,3,clean
2.4,1,3,buggy
9.9,0,2,clean
4.8,0,2,clean
4.0,0,3,clean
6.5,2,3,clean
1.9,0,3,clean
-1.4,0,1,clean
0.1,0,1,clean
3.7,5,3,buggy
0.1,0,2,clean
5.2,0,1,clean
7.8,0,1,clean
5.8,7,8,buggy
4.6,0,2,clean
4.5,1,2,clean
3.7,2,1,clean
2.1,1,1,clean
2.3,0,2,buggy
1.9,1,7,clean
9.9,1,2,clean
6.2,1,1,clean
7.7,1,3,clean
2.1,0,3,clean
2.8,1,1,clean
-0.3,0,1,clean
3.0,1,1,clean
5.2,0,3,clean
-2.2,0,1,clean
4.7,1,4,clean
0.6,2,2,clean
4.0,1,2,clean
4.0,2,5,buggy
3.1,4,3,clean
2.7,3,3,clean
3.6,11,8,buggy
1.3,1,1,clean
4.1,3,1,clean
0.1,0,1,clean
-0.3,0,1,clean
3.5,1,1,clean
0.8,2,3,buggy
0.5,1,2,buggy
1.7,0,2,clean
5.7,2,1,clean
0.1,0,1,clean
2.7,4,1,clean
6.0,0,1,clean
-0.3,0,1,buggy
6.0,0,1,buggy
2.8,0,1,buggy
1.1,1,2,clean
0.8,0,4,clean
1.0,0,2,clean
2.4,1,3,buggy
2.4,1,2,buggy
-0.3,0,1,buggy
4.4,3,4,buggy
1.2,1,2,clean
2.5,1,5,buggy
1.3,1,2,clean
2.3,2,2,clean
4.0,0,1,clean
5.2,2,2,buggy
0.1,0,1,clean
1.3,0,1,clean
0.9,0,1,clean
6.0,1,1,clean
-0.7,0,1,clean
-1.4,0,1,clean
10.3,1,3,buggy
3.6,0,1,clean
4.0,5,6,clean
0.7,2,2,clean
7.9,2,2,buggy
4.4,4,7,clean
-0.1,0,1,clean
6.9,1,5,clean
4.7,2,2,clean
3.6,2,2,clean
16.1,1,3,clean
4.4,1,1,clean
3.6,3,4,clean
5.3,6,3,clean
-0.3,0,1,clean
6.7,2,5,clean
-1.1,0,1,clean
7.1,0,1,clean
7.1,0,1,clean
6.9,1,5,buggy
4.7,2,2,buggy
3.6,2,2,clean
16.1,1,3,clean
4.4,1,1,clean
3.6,3,4,clean
-0.3,0,1,buggy
6.7,2,5,clean
0.9,0,1,clean
3.6,2,1,clean
7.5,1,5,clean
-1.1,0,1,clean
-0.1,0,2,buggy
1.0,1,3,buggy
6.4,2,3,buggy
1.5,0,3,clean
0.9,0,1,buggy
0.5,0,1,clean
4.5,1,2,buggy
-0.8,2,1,clean
4.5,3,2,buggy
-1.3,1,1,clean
3.4,0,1,buggy
6.2,2,3,clean
1.3,0,1,clean
3.4,1,1,clean
5.4,1,1,clean
10.6,1,2,clean
6.4,0,1,clean
6.5,2,1,clean
6.7,1,2,buggy
4.3,1,3,clean
-2.2,0,1,buggy
5.2,1,1,clean
6.9,1,5,buggy
5.6,1,2,clean
-2.2,0,1,clean
-0.3,0,1,buggy
5.6,3,2,clean
6.7,1,2,clean
3.0,1,2,clean
-0.7,0,1,buggy
